incident_id,date_time,crime_type,latitude,longitude,district,pincode,outcome,victim_age,victim_gender,source,severity
GZB_000001,2025-05-10 08:07:20,Theft,28.713575276893046,77.45660460837492,Ghaziabad,201002,Investigation,23,Male,FIR,2
GZB_000002,2025-01-17 01:26:58,Burglary,28.66604898115693,77.45513247340939,Ghaziabad,201005,Investigation,20,Female,FIR,3
GZB_000003,2024-10-08 07:38:17,Fraud,28.707847416585622,77.41787661614293,Ghaziabad,201004,Investigation,22,Male,FIR,2
GZB_000004,2023-07-25 11:49:39,Cyber Crime,28.680313669107054,77.45573799878368,Ghaziabad,201003,Investigation,13,Female,FIR,2
GZB_000005,2025-09-22 15:47:14,Theft,28.70340611030567,77.45019337782647,Ghaziabad,201002,Investigation,39,Male,FIR,2
GZB_000006,2023-01-15 07:24:06,Assault,28.70087115003002,77.45581783065006,Ghaziabad,201011,No Action,19,Male,PoliceDataset,3
GZB_000007,2023-05-15 19:11:33,Theft,28.676473034052798,77.46120098082726,Ghaziabad,201012,Arrest,35,Male,PoliceDataset,2
GZB_000008,2025-10-25 15:13:38,Theft,28.554395980578605,77.44347393535449,Ghaziabad,201007,Investigation,9,Female,FIR,2
GZB_000009,2024-04-29 09:44:14,Cyber Crime,28.66792703146973,77.45123878723577,Ghaziabad,201001,Investigation,40,Female,FIR,2
GZB_000010,2023-07-09 06:56:26,Assault,28.719360728316396,77.36132090480092,Ghaziabad,201002,Arrest,33,Male,FIR,3
GZB_000011,2024-11-14 09:58:53,Theft,28.665223570119732,77.45292116315954,Ghaziabad,201004,Investigation,39,Female,FIR,2
GZB_000012,2024-11-29 15:01:27,Theft,28.6977723731832,77.45084583421131,Ghaziabad,201012,Investigation,33,Male,PoliceDataset,2
GZB_000013,2025-04-15 05:55:58,Theft,28.63346613957813,77.54685039677001,Ghaziabad,201001,Investigation,36,Male,News,2
GZB_000014,2024-10-21 10:35:18,Sexual Assault,28.60670651720418,77.37827354470737,Ghaziabad,201011,Pending,36,Male,News,5
GZB_000015,2024-04-17 08:30:29,Domestic Violence,28.65893682252885,77.45451387095137,Ghaziabad,201011,Charge Sheeted,30,Female,FIR,3
GZB_000016,2025-03-26 19:19:23,Burglary,28.717204258728852,77.53777064890198,Ghaziabad,201007,No Action,36,Male,News,3
GZB_000017,2023-04-09 21:17:45,Robbery,28.662052179016783,77.4577393216518,Ghaziabad,201010,No Action,20,Female,News,4
GZB_000018,2024-02-05 10:47:11,Assault,28.697317431681277,77.4552376552095,Ghaziabad,201005,Charge Sheeted,12,Male,PoliceDataset,3
GZB_000019,2025-03-08 16:46:32,Theft,28.59176991973699,77.36462003362197,Ghaziabad,201001,Arrest,28,Female,PoliceDataset,2
GZB_000020,2023-07-10 09:31:22,Burglary,28.673642044907687,77.44575157901232,Ghaziabad,201007,No Action,10,Female,FIR,3
GZB_000021,2025-05-03 10:26:41,Vehicle Theft,28.68334346301896,77.49347197595755,Ghaziabad,201006,Investigation,40,Female,PoliceDataset,3
GZB_000022,2025-06-21 13:44:19,Domestic Violence,28.705074387275943,77.52910101494534,Ghaziabad,201005,Investigation,22,Male,FIR,3
GZB_000023,2025-05-03 10:57:21,Robbery,28.663841278358223,77.45179109651563,Ghaziabad,201004,Arrest,21,Male,FIR,4
GZB_000024,2025-06-02 11:34:54,Theft,28.661077586493608,77.41135683314904,Ghaziabad,201002,Investigation,24,Female,FIR,2
GZB_000025,2025-03-01 12:11:52,Theft,28.627317490540843,77.4055595982399,Ghaziabad,201002,Investigation,33,Male,FIR,2
GZB_000026,2023-06-03 10:36:21,Theft,28.670468839636065,77.41466291656889,Ghaziabad,201002,Investigation,39,Male,FIR,2
GZB_000027,2023-12-23 11:09:53,Domestic Violence,28.665647639734395,77.40338482709294,Ghaziabad,201006,Arrest,34,Male,FIR,3
GZB_000028,2024-05-11 19:31:26,Cyber Crime,28.70955842904976,77.44579358586108,Ghaziabad,201005,No Action,32,Female,News,2
GZB_000029,2023-10-12 05:30:45,Theft,28.666281403403687,77.45504558956772,Ghaziabad,201010,Investigation,22,Male,News,2
GZB_000030,2024-02-17 03:24:20,Harassment,28.709197612582127,77.46206983305893,Ghaziabad,201002,Arrest,8,Female,FIR,2
GZB_000031,2023-04-06 10:31:36,Theft,28.651824309270605,77.41674356393655,Ghaziabad,201002,Investigation,26,Male,FIR,2
GZB_000032,2024-01-31 21:18:11,Burglary,28.67888937897335,77.4516789804321,Ghaziabad,201011,Investigation,69,Male,FIR,3
GZB_000033,2025-08-05 16:35:52,Cyber Crime,28.550065342670713,77.45393985789349,Ghaziabad,201005,Investigation,8,Female,FIR,2
GZB_000034,2024-08-10 17:57:43,Vehicle Theft,28.623740124510327,77.4022895193385,Ghaziabad,201012,Investigation,51,Female,FIR,3
GZB_000035,2023-12-05 15:44:00,Vehicle Theft,28.65811727406337,77.41695714284194,Ghaziabad,201012,Investigation,28,Male,CommunityReport,3
GZB_000036,2023-02-08 12:44:12,Assault,28.680364668324714,77.45891166680539,Ghaziabad,201002,No Action,39,Female,News,3
GZB_000037,2024-05-19 11:48:24,Vehicle Theft,28.669617915987114,77.45970102583816,Ghaziabad,201004,Charge Sheeted,31,Female,News,3
GZB_000038,2024-10-17 17:10:11,Fraud,28.652361941296867,77.40674662927181,Ghaziabad,201002,Investigation,27,Male,News,2
GZB_000039,2024-06-23 05:40:35,Harassment,28.657723760897614,77.45597485875284,Ghaziabad,201002,No Action,19,Female,CommunityReport,2
GZB_000040,2023-09-13 15:24:01,Theft,28.651349331959697,77.39131850961603,Ghaziabad,201007,Investigation,35,Female,FIR,2
GZB_000041,2025-05-02 17:24:21,Vehicle Theft,28.658312098553658,77.4090937458482,Ghaziabad,201010,Arrest,33,Male,CommunityReport,3
GZB_000042,2023-03-24 09:13:08,Theft,28.663358419579193,77.40344213304566,Ghaziabad,201006,No Action,32,Male,FIR,2
